
**** SCALARS ****
run,repetition,Module,arpReplySent:count,arpReplySent:sum(packetBytes),arpRequestSent:count,arpRequestSent:sum(packetBytes),arpResolutionCompleted:count,arpResolutionFailed:count,arpResolutionInitiated:count,Arrival computation count,droppedPkBadChecksum:count,droppedPkWrongPort:count,dropPk:count,dropPk:sum(packetBytes),interference cache hit,interference computation count,linkBroken:count,listening decision computation count,noise cache hit,outOfOrderPk:count,outOfOrderPk:sum(packetBytes),packetDropAddressResolutionFailed:count,packetDropAddressResolutionFailed:sum(packetBytes),packetDropForwardingDisabled:count,packetDropForwardingDisabled:sum(packetBytes),packetDropHopLimitReached:count,packetDropHopLimitReached:sum(packetBytes),packetDropIncorrectlyReceived:count,packetDropIncorrectlyReceived:sum(packetBytes),packetDropInterfaceDown:count,packetDropInterfaceDown:sum(packetBytes),packetDropNoInterfaceFound:count,packetDropNoInterfaceFound:sum(packetBytes),packetDropNoRouteFound:count,packetDropNoRouteFound:sum(packetBytes),packetDropNotAddressedToUs:count,packetDropNotAddressedToUs:sum(packetBytes),packetDropQueueOverflow:count,packetDropQueueOverflow:sum(packetBytes),packetDropUndefined:count,packetDropUndefined:sum(packetBytes),packetPopped:count,packetPopped:sum(packetBytes),packetPushed:count,packetPushed:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packetRemoved:count,packetRemoved:sum(packetBytes),packetSent:count,packetSent:sum(packetBytes),passedUpPk:count,passedUpPk:sum(packetBytes),queueLength:max,queueLength:timeavg,radioMode:count,rcvdPkFromHl:count,rcvdPkFromHl:sum(packetBytes),rcvdPkFromLl:count,rcvdPkFromLl:sum(packetBytes),reception cache hit,reception computation count,reception decision cache hit,reception decision computation count,reception result cache hit,receptionState:count,sentDownPk:count,sentDownPk:sum(packetBytes),signal send count,snir cache hit,Total deleted,Total received,Total sent,transmission count,transmissionState:count
Static-0-20230913-14:11:54-19084,0,AODVNetwork.radioMedium.propagation,NaN,NaN,NaN,NaN,NaN,NaN,NaN,264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.radioMedium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.666666666667,887,NaN,544,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.862700228833,264,50,79,0,NaN,NaN,NaN,264,50,NaN,NaN,NaN,44,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].lo[0].lo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].wlan[0].mac.queue,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,9,3076,9,3076,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].wlan[0].mac,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,8,3208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,128,NaN,NaN,NaN,9,3076,11,3405,NaN,NaN,NaN,NaN,NaN,NaN,9,3283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].wlan[0].radio,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].ipv4.ip,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].ipv4.arp,1,28,0,0,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].udp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,60,NaN,NaN,9,3296,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Static-0-20230913-14:11:54-19084,0,AODVNetwork.host[0].app[0],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,8,3200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,8,NaN,NaN
